Langue,URL ,Mot-clé principal,Page Title,max 82,MetaDescriptions,max 160,H1 title
FR,https://elementdebase.com/fr/,magasin meuble montreal,Magasin en ligne de meubles et accessoires à Montréal | Élément de base,71,"Bienvenue sur Élément de base, magasin de meubles et accessoires de décoration à Montréal. Découvrez nos produits et nos échantillons et magasinez en ligne.",156,Magasin en ligne de meubles et accessoires à Montréal 
FR,https://elementdebase.com/fr/order-samples/,,Commandez des échantillons de tissus en ligne | Élément de base,63,Commandez des échantillons de tissus gratuitement chez Élément de base afin de valider vos choix chez vous. Envoyez notre formulaire de commande en ligne.,154,Commandez des échantillons de tissus en ligne 
FR,https://elementdebase.com/fr/introduction/,meuble montreal,À propos de la boutique de meubles à Montréal | Élément de base,63,"Élément de base créée des meubles évolutifs, conçus à Montréal et produits à un coût qui plaira à tous les budgets. Découvrez nos produits et magasinez en ligne.",161,À propos de la boutique de meubles
FR,https://elementdebase.com/fr/about-shipping/,,Frais de livraison | Élément de base,36,Identifiez votre zone de livraison et consultez les frais de livraison sur vos commandes de mobiliers et accessoires sur Élément de base. Contactez-nous.,153,Frais de livraison 
FR,https://elementdebase.com/fr/contact-us/,,Contactez-nous | Élément de base,32,"Pour nous contacter, soumettez-nous vos informations par notre formulaire. Prenez rendez-vous en appelant au 514-738-6484 ou écrivez à info@elementdebase.com.",158,Contactez-nous 
FR,https://elementdebase.com/fr/lookbook/,,Lookbooks et inspirations  | Élément de base,44,Consultez les lookbooks d'Élément de base Montréal et trouvez l'inspiration pour le décor de votre salon. Choisissez votre collection et magasinez en ligne. ,157,Lookbooks et inspirations  
FR,https://elementdebase.com/fr/about-return-exchange/,,Politique d'échange et de remboursement | Élément de base,57,Découvrez la politique d'échange et de remboursement d'Élément de base et adressez vos demandes d’échange ou de remboursement à support@elementdebase.com.,154,Politique d'échange et de remboursement 
FR,https://elementdebase.com/fr/about-trade-designers/,,Avantages pour designers et professionnels à Montréal | Élément de base,71,"Élément de base offre des réductions avantageuses aux architectes, aux designers et aux autres professionnels liés au milieu de la création. Contactez-nous.",156,Avantages pour designers et professionnels à Montréal 
FR,https://elementdebase.com/fr/large-orders/,,Grandes commandes et commandes en gros de meubles | Élément de base,67,"Pour les grandes commandes et les commandes en gros, Élément de base offre des escomptes de volume. Contactez notre équipe par courriel à info@elementdebase.com",160,Grandes commandes et commandes en gros de meubles
FR,https://elementdebase.com/fr/product-category/sofas/,"TEMPLATE CATÉGORIE CANAPÉ : 
-divan
-canapé",Canapé (NOM PRODUIT) | Divan | Élément de base,46,Découvrez le canapé (NOM PRODUIT) sur Élément de base et ses caractéristiques. Sélectionnez la couleur que vous voulez et commandez en ligne.,141,Canapé (NOM PRODUIT) en ligne 
FR,https://elementdebase.com/fr/product-category/sofa-beds/,"divan-lit
canapé lit",Modèles de divan-lit design en ligne | Élément de base,54,Découvrez tous les modèles de divans-lits en vente chez Élément de base. Choisissez le canapé-lit qui convient à votre décor et passez commande en ligne.,153,Modèles de divan-lit design en ligne 
