Langue,URL ,Mot-clé principal,Page Title,max 92,MetaDescriptions,max 160,H1 title
FR,https://elementdebase.com/,living room furniture,Living room furniture and accessories in Montreal | Élément de base,67,"Welcome to Élément de base, living room furniture and accessories in Montreal. Discover our products, lookbooks and fabric samples and shop online now!",151,Living room furniture and accessories in Montreal
FR,https://elementdebase.com/order-samples/,,Order fabric samples online | Élément de base,45,Order your free fabric samples on Élément de base to validate your choice at home. Submit our online form to receive our collection of upholstery fabrics.,154,Order fabric samples online
FR,https://elementdebase.com/introduction/,mid century furniture,About us | Élément de base,26,"Élément de base is a sustainable company who offers stylish, renewable, locally designed mid-century furniture at prices to suit any budget. Shop online now!",157,About us
FR,https://elementdebase.com/about-shipping/,,Shipping rate on orders of furniture and accessories | Élément de base,70,Identify your shipping zone to discover your shipping rate on orders of furniture and accessories on Élément de base. Contact us for more info.,143,Shipping rate on orders of furniture and accessories
FR,https://elementdebase.com/contact-us/,,Contact us | Élément de base,28,"Contact Élément de base by submitting our online form. To arrange an appointment, please call us within our opening hours or write at info@elementdebase.com",156,Contact us
FR,https://elementdebase.com/lookbook/,,Lookbooks and living room inspiration | Élément de base,55,Discover all Élément de base lookbooks and find inspiration to decorate your living room. Choose your collection of furniture and accessories and shop online.,158,Lookbooks and living room inspiration
FR,https://elementdebase.com/about-return-exchange/,,Return and exchange policy | Élément de base,44,"If you wish to return or exchange an item, contact Élément de base at support@elementdebase.com for advice and support. We will do all we can to accommodate you",160,Return and exchange policy
FR,https://elementdebase.com/about-trade-designers/,,Discount program for designer and trade | Élément de base,57,Register for Élément de base trade discount program to have 15% on regular items and 5% on the last ticketed price of sale items. Contact us for more info.,155,Discount program for designer and trade
FR,https://elementdebase.com/large-orders/,,Large and volume orders discounts | Élément de base,51,"For large orders and volume orders, Élément de base offers volume discounts. Please contact our sales team with your potential order at info@elementdebase.com",158,Large and volume orders discounts
FR,https://elementdebase.com/product-category/sofas/,"TEMPLATE CATÉGORIE SOFAS :
-sofa",Sofa (NOM PRODUIT) online | Élément de base,43,"Discover the (NOM PRODUIT) sofa on Élément de base. Learn more about its features, select a color and add it to your online cart.",129,Sofa (NOM PRODUIT) online
FR,https://elementdebase.com/product-category/sofa-beds/,sofa bed,Online sofa beds Designed in Montreal | Élément de base,55,"Discover all sofa-beds for sale at Élément de base. Choose the sofa-bed that suits your living room decor, select a color and order online now!",143,Sofa beds
FR,https://elementdebase.com/product-category/sectionals/,"TEMPLATE CATÉGORIE SECTIONNELS :
sectional sofas",(NOM PRODUIT) sectional sofa online  | Élément de base,54,"Discover the (NOM PRODUIT) sectional sofa on Éléménts de base with its features, materials, and dimensions. Select your color and order online.",143,(NOM PRODUIT) sectional sofa online 
FR,https://elementdebase.com/product-category/armchairs/,armchairs,Online armchairs Designed in Montreal  | Élément de base,56,"Discover all armchairs for sale at Élément de base. Choose the model that suits your living room decor, select a color and order online now!",140,Armchairs designed in Montreal 
FR,https://elementdebase.com/product-category/modular/,modular sofa,Online modular sofas Designed in Montreal  Élément de base,58,Discover all handcrafted modular chairs for sale at Élément de base. Select the color and model that suits your living room and order online now!,145,Modular sofas designed in Montreal 
FR,https://elementdebase.com/product-category/side-tables/,,Online side tables designed in Montreal  | Élément de base,58,"Order one of the side tables available on Élément de base. Discover all our collections and colors, select a product and order online.",134,Side tables designed in Montreal 
FR,https://elementdebase.com/product-category/accessories/accessories-rugs/,wool rugs,Online wool rugs designed in Montreal | Élément de base,55,"Discover all wool rugs for sale at Élément de base. Choose the model that suits your living room decor, select a color and order online now!",140,Wool rugs designed in Montreal 
FR,https://elementdebase.com/product-category/accessories/accessories-pillows/,sofa pillows,Online sofa pillows designed in Montreal | Élément de base,58,"Order one of the designed in Montreal sofa pillows available on Élément de base. Discover all our collections and colors, select a product and order online.",156,Sofa pillows designed in Montreal 
FR,https://elementdebase.com/product-category/accessories/,,Oline living room accessories | Élément de base,47,"Decorate your living room with accessories available on Élément de base. Discover all our collections, select a product and a color and order online now!",153,Living room accessories 
FR,https://elementdebase.com/product-category/slipcovers/,sofa covers,Online sofa covers designed in Montreal | Élément de base,57,"Discover all sofa covers available on Élément de base. Choose the model that suits your living room decor, select a color and order online now!",143,Sofa covers designed in Montreal 
FR,https://elementdebase.com/shop/,,Shop for living room furniture and accessories online | Élément de base,71,Discover all design living room furniture and accessories for sale at Élément de base in Montreal. Choose your model and color and order online.,144,Shop for living room furniture and accessories online
FR,https://elementdebase.com/product/stripe_3stxxx09440298/,TEMPLATE PRODUITS,(NOM PRODUIT ET MODÈLE) online | Élément de base,48,"Discover the (NOM PRODUIT ET MODÈLE) on Élément de base. Discover its features, materials, and dimensions. Select a color and order online now!",143,(NOM PRODUIT ET MODÈLE) online
